trID;oldVer;newVer;Table;EventType;attrName;attrType;iskey;pkey;fkey
9;rev_007684.sql;rev_007750.sql;tiki_webmail_contacts_ext;Insertion:NewTable;value;VARCHAR(256);false;0;-
10;rev_007750.sql;rev_007758.sql;tiki_webmail_contacts_fields;Insertion:NewTable;fieldname;VARCHAR(256);false;0;-
10;rev_007750.sql;rev_007758.sql;tiki_webmail_contacts_fields;Insertion:NewTable;user;VARCHAR(200);false;0;-
11;rev_007758.sql;rev_007831.sql;tiki_webmail_contacts_ext;Insertion:UpdateTable;fieldId;INT(10);false;0;-
11;rev_007758.sql;rev_007831.sql;tiki_webmail_contacts_ext;Deletion:UpdateTable;name;VARCHAR(32);false;0;-
11;rev_007758.sql;rev_007831.sql;tiki_webmail_contacts_fields;Insertion:UpdateTable;fieldId;INT(10);false;0;-
11;rev_007758.sql;rev_007831.sql;tiki_webmail_contacts_fields;Insertion:UpdateTable;order;INT(2);false;0;-
11;rev_007758.sql;rev_007831.sql;tiki_webmail_contacts_fields;Insertion:UpdateTable;show;CHAR(1);false;0;-
12;rev_007831.sql;rev_007889.sql;-;-;-;-;-;-;-
13;rev_007889.sql;rev_007942.sql;-;-;-;-;-;-;-
14;rev_007942.sql;rev_007953.sql;-;-;-;-;-;-;-
15;rev_007953.sql;rev_007995.sql;-;-;-;-;-;-;-
16;rev_007995.sql;rev_008100.sql;users_permissions;Insertion:UpdateTable;admin;VARCHAR(1);false;0;-
17;rev_008100.sql;rev_008105.sql;-;-;-;-;-;-;-
18;rev_008105.sql;rev_008164.sql;tiki_actionlog_conf;Insertion:UpdateTable;id;INT(11);false;0;-
19;rev_008164.sql;rev_008238.sql;-;-;-;-;-;-;-
20;rev_008238.sql;rev_008293.sql;-;-;-;-;-;-;-
21;rev_008293.sql;rev_008342.sql;tiki_forums;Update:TypeChange;name;VARCHAR(255);false;0;-
22;rev_008342.sql;rev_008344.sql;tiki_comments;Update:TypeChange;title;VARCHAR(255);false;0;-
23;rev_008344.sql;rev_008366.sql;-;-;-;-;-;-;-
24;rev_008366.sql;rev_008383.sql;users_users;Insertion:UpdateTable;email_due;INT(14);false;0;-
25;rev_008383.sql;rev_008397.sql;users_users;Insertion:UpdateTable;unsuccessful_logins;INT(14);false;0;-
26;rev_008397.sql;rev_008402.sql;users_users;Insertion:UpdateTable;email_confirm;INT(14);false;0;-
26;rev_008397.sql;rev_008402.sql;users_users;Insertion:UpdateTable;pass_confirm;INT(14);false;0;-
26;rev_008397.sql;rev_008402.sql;users_users;Deletion:UpdateTable;email_due;INT(14);false;0;-
26;rev_008397.sql;rev_008402.sql;users_users;Deletion:UpdateTable;pass_due;INT(14);false;0;-
27;rev_008402.sql;rev_008422.sql;-;-;-;-;-;-;-
28;rev_008422.sql;rev_008452.sql;-;-;-;-;-;-;-
29;rev_008452.sql;rev_008490.sql;tiki_modules;Update:KeyChange;ord;INT(4);true;0;-
29;rev_008452.sql;rev_008490.sql;tiki_modules;Update:KeyChange;position;CHAR(1);true;0;-
30;rev_008490.sql;rev_008493.sql;-;-;-;-;-;-;-
31;rev_008493.sql;rev_008496.sql;-;-;-;-;-;-;-
32;rev_008496.sql;rev_008497.sql;-;-;-;-;-;-;-
33;rev_008497.sql;rev_008514.sql;tiki_file_galleries;Insertion:UpdateTable;subgal_conf;VARCHAR(200);false;0;-
34;rev_008514.sql;rev_008531.sql;-;-;-;-;-;-;-
35;rev_008531.sql;rev_008558.sql;tiki_menu_options;Insertion:UpdateTable;userlevel;INT(4);false;0;-
36;rev_008558.sql;rev_008624.sql;-;-;-;-;-;-;-
37;rev_008624.sql;rev_008638.sql;-;-;-;-;-;-;-
38;rev_008638.sql;rev_008740.sql;tiki_newsletters;Insertion:UpdateTable;author;VARCHAR(200);false;0;-
39;rev_008740.sql;rev_008758.sql;tiki_pages;Update:TypeChange;cache;LONGTEXT;false;0;-
40;rev_008758.sql;rev_008762.sql;users_users;Deletion:UpdateTable;email_confirm;INT(14);false;0;-
40;rev_008758.sql;rev_008762.sql;users_users;Deletion:UpdateTable;hash;VARCHAR(32);false;0;-
40;rev_008758.sql;rev_008762.sql;users_users;Deletion:UpdateTable;pass_confirm;INT(14);false;0;-
41;rev_008762.sql;rev_008769.sql;users_users;Insertion:UpdateTable;email_confirm;INT(14);false;0;-
41;rev_008762.sql;rev_008769.sql;users_users;Insertion:UpdateTable;hash;VARCHAR(32);false;0;-
41;rev_008762.sql;rev_008769.sql;users_users;Insertion:UpdateTable;pass_confirm;INT(14);false;0;-
42;rev_008769.sql;rev_008780.sql;tiki_forums;Insertion:UpdateTable;commentsPerPage;VARCHAR(100);false;0;-
42;rev_008769.sql;rev_008780.sql;tiki_forums;Insertion:UpdateTable;threadStyle;VARCHAR(100);false;0;-
43;rev_008780.sql;rev_008789.sql;-;-;-;-;-;-;-
44;rev_008789.sql;rev_008797.sql;-;-;-;-;-;-;-
45;rev_008797.sql;rev_008811.sql;-;-;-;-;-;-;-
46;rev_008811.sql;rev_008814.sql;tiki_forums;Insertion:UpdateTable;is_flat;CHAR(1);false;0;-
47;rev_008814.sql;rev_008820.sql;-;-;-;-;-;-;-
48;rev_008820.sql;rev_008822.sql;-;-;-;-;-;-;-
49;rev_008822.sql;rev_008853.sql;-;-;-;-;-;-;-
50;rev_008853.sql;rev_008873.sql;tiki_modules;Insertion:UpdateTable;moduleId;INT(8);false;0;-
51;rev_008873.sql;rev_008904.sql;-;-;-;-;-;-;-
52;rev_008904.sql;rev_008914.sql;-;-;-;-;-;-;-
53;rev_008914.sql;rev_008924.sql;-;-;-;-;-;-;-
54;rev_008924.sql;rev_008944.sql;-;-;-;-;-;-;-
55;rev_008944.sql;rev_008962.sql;users_users;Insertion:UpdateTable;valid;VARCHAR(32);false;0;-
56;rev_008962.sql;rev_008976.sql;-;-;-;-;-;-;-
57;rev_008976.sql;rev_008997.sql;tiki_webmail_contacts_ext;Update:TypeChange;value;VARCHAR(255);false;0;-
57;rev_008976.sql;rev_008997.sql;tiki_webmail_contacts_fields;Update:TypeChange;fieldname;VARCHAR(255);false;0;-
58;rev_008997.sql;rev_009011.sql;-;-;-;-;-;-;-
59;rev_009011.sql;rev_009017.sql;-;-;-;-;-;-;-
60;rev_009017.sql;rev_009019.sql;tiki_user_assigned_modules;Insertion:UpdateTable;moduleId;INT(8);false;0;-
61;rev_009019.sql;rev_009031.sql;tiki_mypage;Insertion:NewTable;height;INT(11);false;0;-
61;rev_009019.sql;rev_009031.sql;tiki_mypage;Insertion:NewTable;id;INT(11);false;0;-
61;rev_009019.sql;rev_009031.sql;tiki_mypage;Insertion:NewTable;id_users;INT(11);false;0;-
61;rev_009019.sql;rev_009031.sql;tiki_mypage;Insertion:NewTable;width;INT(11);false;0;-
