#,Project,Tracker,Parent task,Status,Priority,Subject,Author,Assigned To,Updated,Category,Target version,Start date,Due date,Estimated time,% Done,Created,Story points,Velocity based estimate,Position,Remaining (hours),Tags
31670,Security Guide,Task,Task #30563: Nominate reviewers (language),Closed,Must have,Review document (language),Michael Schams,Michael Schams,2012-03-22 17:16,"",1.0.0,2011-11-08,2011-11-24,"",100,2011-11-08 12:16,"","",352450,"",""
31671,Security Guide,Task,"",Closed,Must have,Review document (technical content),Michael Schams,Helmut Hummel,2012-03-22 17:16,"",1.0.0,2011-11-08,"","",100,2011-11-08 12:17,"","",352500,"",""
31672,Security Guide,Task,"",Rejected,Won't have this time,"Determine topics for chapter ""Guidelines for Extension Developers""",Michael Schams,"",2015-03-21 05:27,"","",2011-11-08,"","",0,2011-11-08 12:19,"","",352550,"",""
31675,Security Guide,Task,"",Closed,Must have,Create screenshots/images,Michael Schams,Michael Schams,2012-03-22 17:16,"",1.0.0,2011-11-08,"","",100,2011-11-08 13:00,"","",352650,"",""
31707,ReST tools,Task,"",Resolved,Should have,Add LaTeX template files,Xavier Perseguers,Xavier Perseguers,2011-11-10 08:50,"","",2011-11-09,"","",100,2011-11-09 13:52,"","",354250,"",""
31726,TCA Reference,Task,"",Closed,Should have,Extract ['columns'][field name]['config'] general options to own chapter,Francois Suter,Francois Suter,2011-11-21 20:58,"",4.6.0,2011-11-10,"","",100,2011-11-10 17:56,"","",355200,"",""
31730,Security Guide,Task,"",Closed,Should have,Mountpoints are no Security Feature,Helmut Hummel,Michael Schams,2012-03-22 17:16,"",1.0.0,2011-11-11,"","",100,2011-11-11 00:21,"","",355400,"",""
31734,Security Guide,Task,"",Closed,Should have,Upper/lowercase for roles/positions are inconsistant,Michael Schams,Michael Schams,2012-03-22 17:16,"",1.0.0,2011-11-11,"","",100,2011-11-11 02:39,"","",355600,"",""
31735,Security Guide,Task,"",Closed,Should have,Advice: coordinate upload of a fixed extension with Security Team,Michael Schams,Michael Schams,2012-03-22 17:16,"",1.0.0,2011-11-11,"","",100,2011-11-11 02:41,"","",355650,"",""
31736,Security Guide,Task,"",Closed,Should have,Explains cases when extension will be removed from TER,Michael Schams,Michael Schams,2012-03-22 17:16,"",1.0.0,2011-11-11,"","",0,2011-11-11 02:42,"","",355700,"",""
31737,Security Guide,Task,"",Rejected,Won't have this time,Clarify major.minor.patch principle,Michael Schams,"",2015-03-21 05:29,"","",2011-11-11,"","",0,2011-11-11 02:43,"","",355750,"",""
31738,Security Guide,Task,"",Closed,Should have,"Updating wording ""extensions have same code quality as the core""",Michael Schams,Michael Schams,2012-03-22 17:16,"",1.0.0,2011-11-11,"","",100,2011-11-11 02:44,"","",355800,"",""
31739,Security Guide,Task,"",Closed,Should have,List other communication channels for security announcements (e.g. Twitter),Michael Schams,Michael Schams,2012-03-22 17:16,"",1.0.0,2011-11-11,"","",100,2011-11-11 02:45,"","",355850,"",""
31740,Security Guide,Task,"",Closed,Should have,CVSS used for TYPO3 core bulletins as well as extensions,Michael Schams,Michael Schams,2012-03-22 17:16,"",1.0.0,2011-11-11,"","",100,2011-11-11 02:45,"","",355900,"",""
31741,Security Guide,Task,"",Closed,Should have,Security bulletins possibly include further advices (e.g. config changes),Michael Schams,Michael Schams,2012-03-22 17:16,"",1.0.0,2011-11-11,"","",100,2011-11-11 02:46,"","",355950,"",""
31742,Security Guide,Task,"",Rejected,Should have,"Clarify ""keep TYPO3 extensions up-to-date"" topic",Michael Schams,"",2011-11-25 04:19,"",1.0.0,2011-11-11,"","",0,2011-11-11 03:13,"","",356000,"",""
31743,Security Guide,Task,"",Closed,Should have,Extend phpMyAdmin recommendations (standalone + http auth),Michael Schams,Michael Schams,2012-03-22 17:16,"",1.0.0,2011-11-11,"","",100,2011-11-11 03:15,"","",356050,"",""
31744,Security Guide,Task,"",Closed,Should have,FTP shall be classified as insecure in general,Michael Schams,Michael Schams,2012-03-22 17:16,"",1.0.0,2011-11-11,"","",100,2011-11-11 03:17,"","",356100,"",""
