Project	MonthsPastV0	AvgTimeLag	AvgSrcLag	TimeLagsSchemaAlways?	SrcLagsSchemaAlways?	TimeLagsSchemaOccurrences	SrcLagsSchemaOccurrences	TimeLagsSchemaPct	SrcLagsSchemaPct
cumulative_theskyinflames__bpulse-go-client.tsv	28	-0.375	-0.03387829300994091	false	false	4	3	0.14285714285714285	0.10714285714285714
cumulative_thesues__catkeeper.tsv	42	0.5045787545787545	0.03621378621378627	true	true	42	42	1.0	1.0
cumulative_thewhitetulip__Tasks.tsv	41	0.4218077474892395	-0.013575780259081242	true	false	41	37	1.0	0.9024390243902439
cumulative_torrentpier__torrentpier.tsv	84	0.3807874950534228	0.43554749524387987	true	true	84	84	1.0	1.0
cumulative_tpolecat__doobie.tsv	66	0.45385674931129477	0.4621480768747786	true	true	66	66	1.0	1.0
cumulative_tracer__tracer.tsv	3	0.3333333333333333	-0.013227513227513208	true	false	3	2	1.0	0.6666666666666666
cumulative_travis-ci__jupiter-brain.tsv	48	0.40625	0.08348945323341657	false	false	44	43	0.9166666666666666	0.8958333333333334
cumulative_tronsha__cerberus.tsv	78	-0.015033577533577657	0.09703313913254559	false	false	34	34	0.4358974358974359	0.4358974358974359
cumulative_tstack__lnav.tsv	116	-0.2167487684729064	-0.13170075079144652	false	false	27	26	0.23275862068965517	0.22413793103448276
cumulative_TwitchScience__rs_ingester.tsv	42	0.07199546485260766	0.102242265304668	false	false	31	33	0.7380952380952381	0.7857142857142857
cumulative_twitter__zipkin.tsv	83	-0.36590807675145026	-0.11931943106982772	false	false	10	49	0.12048192771084337	0.5903614457831325
cumulative_UlricQin__beego-blog.tsv	58	0.5086206896551724	0.23354618986802875	true	true	58	58	1.0	1.0
cumulative_umpirsky__tld-list.tsv	27	0.037037037037037084	0.024691358024691388	false	false	14	10	0.5185185185185185	0.37037037037037035
cumulative_voxpelli__node-connect-pg-simple.tsv	62	0.5080645161290323	0.5070792585024083	true	true	62	62	1.0	1.0
cumulative_vzex__dog-tunnel.tsv	50	0.425	0.23069811320754738	false	false	48	47	0.96	0.94
cumulative_wanlitao__HangfireExtension.tsv	23	-0.43478260869565216	-0.45053560176433527	false	false	2	1	0.08695652173913043	0.043478260869565216
cumulative_webadmin87__rzwebsys7.tsv	37	0.2842905405405404	-0.08254686508556894	false	false	34	24	0.918918918918919	0.6486486486486487
cumulative_webinverters__win-with-logs.tsv	21	0.38095238095238104	0.3097338935574229	false	false	19	18	0.9047619047619048	0.8571428571428571
cumulative_webnuts__post_json.tsv	12	0.5416666666666666	0.006367663344407461	true	true	12	12	1.0	1.0
cumulative_williamespindola__field.tsv	2	0.1388888888888889	-0.06459948320413433	false	false	1	0	0.5	0.0
cumulative_wskm__deruv.tsv	11	0.343980343980344	-0.10469567197019133	false	false	10	6	0.9090909090909091	0.5454545454545454
cumulative_yiier__forum.tsv	4	0.2916666666666667	-0.15912073490813639	true	false	4	3	1.0	0.75
cumulative_ZachBergh__spark-mysql-protocol.tsv	30	-0.14074074074074072	-0.12332138590203097	false	false	11	10	0.36666666666666664	0.3333333333333333
cumulative_zphalcon__phalcon-tip.tsv	23	0.5217391304347826	0.14855072463768124	true	true	23	23	1.0	1.0
